,train_losses,valid_losses,mAPs,precisions,recalls,f1s
67,0.01099755926022552,13.603606564658028,0.4316855271167595,0.3858402975476147,0.46091644204851756,0.40615530955659135
68,0.011557199675941243,14.570882320404053,0.04277068606011291,0.060041407867494824,0.07816711590296496,0.06791569086651053
69,0.04387550702634847,13.578649827412196,0.4160486179705681,0.4079142712060148,0.4474393530997305,0.40676742996433324
70,0.03640388029645074,13.676993574414935,0.0673854447439353,0.026068821689259645,0.0673854447439353,0.037593984962406006
71,0.018776069043801642,13.6640442439488,0.5271269610892253,0.5256395092088152,0.5471698113207547,0.5132165613395933
72,0.012710575348223155,14.155633313315255,0.35339601306242663,0.3874553351468402,0.4123989218328841,0.3939262297984954
73,0.01049027349448429,14.05087763922555,0.5018413048272355,0.4703893558821882,0.5471698113207547,0.4948528370168514
74,0.01067206370732132,13.710080419267927,0.5421267715850796,0.5047267875334668,0.5471698113207547,0.5023981358120756
75,0.01909168967801445,13.735673359462194,0.028075156246919423,0.055855855855855854,0.07547169811320754,0.06410703086892898
76,0.02066287711122126,14.307331732341222,0.04277068606011291,0.05178571428571428,0.07816711590296496,0.062298603651987104
77,0.015448268520522793,14.620885644640241,0.0008137110308701623,0.009685230024213076,0.010781671159029648,0.010204081632653053
78,0.01327128502768728,15.0281548840659,0.0,0.0,0.0,0.0
79,0.03074801150920256,14.471686397280012,0.04277068606011291,0.060041407867494824,0.07816711590296496,0.06791569086651053
80,0.01588080401690501,14.144822869982038,0.07816711590296496,0.041428571428571426,0.07816711590296496,0.05415499533146591
81,0.010852363487740732,14.19311009134565,0.046570829589697514,0.05536311514572384,0.1051212938005391,0.07247968372501647
82,0.030162759511819424,14.152037688664027,0.08309744092167583,0.12484613345102409,0.13746630727762804,0.12980248331934072
83,0.024008636468283412,13.909085273742676,0.5356746472173776,0.4810062356395402,0.5471698113207547,0.4935884161220471
84,0.011280707347224344,14.467279263905116,0.5105959868224019,0.503862394021417,0.5471698113207547,0.5099762915750204
85,0.011741315014660358,14.412906782967704,0.5152648660542384,0.4785317637887471,0.5471698113207547,0.4987224962199685
86,0.02658897903659996,13.545184782573156,0.5167431491329667,0.5141592721940605,0.5471698113207547,0.5093488712884114
87,0.017258251859050878,13.835090705326625,0.5407554777845405,0.5275052756240975,0.5471698113207547,0.512892912761363
88,0.022182220030786855,13.836101566042219,0.5332759295082042,0.4497265495345206,0.5471698113207547,0.4787980911160985
89,0.020057237671934208,13.753191164561681,0.5305777921893683,0.5068748935652375,0.5471698113207547,0.5056203513005227
90,0.009698662590586915,14.483596665518624,0.0785357994857019,0.05134038800705467,0.09433962264150943,0.06641860724389256
91,0.009545180981732765,13.925282614571708,0.4368200015104385,0.37945411833278914,0.46900269541778977,0.4046894617214353
92,0.011119352249463773,15.04414337021964,0.0,0.0,0.0,0.0
93,0.008055419555671935,14.589727231434413,0.5026689921251519,0.4755743132317263,0.5363881401617251,0.49222204656671714
94,0.006094000715200069,14.090979371752058,0.5433064516713838,0.4944423227090183,0.5525606469002696,0.4997166010102574
95,0.0058037789169488084,14.691995007651192,0.46844908556687515,0.46860060366574435,0.5363881401617251,0.4901723330661404
96,0.007302655311266206,14.842470679964338,0.19944316637299275,0.18701032993075653,0.2398921832884097,0.20659312050862794
97,0.007813343391665872,14.988441126687187,0.04277068606011291,0.05675146771037182,0.07816711590296496,0.06575963718820861
98,0.015438816422280276,14.13979973111834,0.5074907950601625,0.5226147438456381,0.5471698113207547,0.5055907131538951
99,0.017460708980852703,14.889737946646553,0.000673854447439353,0.002695417789757412,0.002695417789757412,0.002695417789757405
100,0.02761692964946324,13.969335147312709,0.0,0.0,0.0,0.0
101,0.012680980447187738,15.23212000301906,0.0,0.0,0.0,0.0
102,0.006842416684793413,14.238257476261683,0.07317560147748828,0.03481392557022809,0.07816711590296496,0.04817275747508304
103,0.008980762011389126,14.283996547971453,0.10656650443987235,0.07518351214003387,0.14285714285714285,0.09834083834506935
104,0.019539758071022213,14.766460078103202,0.23137154001002957,0.26162687517906863,0.27762803234501343,0.26689259236429047
105,0.011554589987082302,15.188769885471888,0.0,0.0,0.0,0.0
106,0.014129266046198472,15.508537020002093,0.0,0.0,0.0,0.0
107,0.017719243969416845,14.493553468159266,0.4336062655749377,0.47852915221683834,0.46900269541778977,0.44728262088033016
108,0.015017742001152825,13.95205797467913,0.5256738544474394,0.5206414903247202,0.5471698113207547,0.50872487317004
109,0.006564265776003869,14.274907793317523,0.5134506632841817,0.5433144395433706,0.5471698113207547,0.5167193472371027
110,0.005436870506701042,14.955066544669014,0.13394640162935947,0.1608837933259937,0.18867924528301885,0.17132907641504938
111,0.008420678426704879,15.017479453768049,0.4460051874078218,0.4179637373817452,0.4878706199460917,0.43969628116230897
112,0.03212903751025222,15.008928333009992,0.0,0.0,0.0,0.0
113,0.07079072581287825,14.880633013589042,0.07658157602663707,0.07142857142857142,0.07816711590296496,0.07464607464607464
114,0.022477720003083068,14.74122336932591,0.5191007734403962,0.5082557550742675,0.5471698113207547,0.5061695057138164
115,0.014561229262430713,15.758371489388603,0.0,0.0,0.0,0.0
116,0.0228490417050022,14.26114627293178,0.49941202817464336,0.4871109896830757,0.5471698113207547,0.503691871340348
